year,fips,pop2020,pop2024,state,stateCode,growthSince2020,name,county,slug,landArea,density,rank,densityMi,areaMi,white%,AdjacentCounties,AdjacentCodes
2024,17063,52516,54007,Illinois,IL,0.028391347,Grundy County,Grundy County,illinois/grundy-county,418,129.20334928229664,25,129.20334928229664,418,90.63,"""Grundy County, IL"" 17063 ""Kankakee County, IL"" 17091 ""Kendall County, IL"" 17093 ""LaSalle County, IL"" 17099 ""Livingston County, IL"" 17105 ""Will County, IL"" 17197","17063, 17091, 17093, 17099, 17105, 17197"
2024,17065,7999,7841,Illinois,IL,-0.019752469,Hamilton County,Hamilton County,illinois/hamilton-county,435,18.02528735632184,89,18.02528735632184,435,96.17,"""Franklin County, IL"" 17055 ""Gallatin County, IL"" 17059 ""Hamilton County, IL"" 17065 ""Jefferson County, IL"" 17081 ""Saline County, IL"" 17165 ""Wayne County, IL"" 17191 ""White County, IL"" 17193","17055, 17059, 17065, 17081, 17165, 17191, 17193"
2024,17067,17543,17118,Illinois,IL,-0.024226187,Hancock County,Hancock County,illinois/hancock-county,794,21.55919395465995,60,21.55919395465995,794,95.84,"""Adams County, IL"" 17001 ""Hancock County, IL"" 17067 ""Henderson County, IL"" 17071 ""McDonough County, IL"" 17109 ""Schuyler County, IL"" 17169 ""Lee County, IA"" 19111 ""Clark County, MO"" 29045 ""Lewis County, MO"" 29111","17001, 17067, 17071, 17109, 17169, 19111, 29045, 29111"
2024,17069,3642,3566,Illinois,IL,-0.020867655,Hardin County,Hardin County,illinois/hardin-county,177,20.146892655367232,102,20.146892655367232,177,97.82,"""Gallatin County, IL"" 17059 ""Hardin County, IL"" 17069 ""Pope County, IL"" 17151 ""Saline County, IL"" 17165 ""Crittenden County, KY"" 21055 ""Livingston County, KY"" 21139 ""Union County, KY"" 21225","17059, 17069, 17151, 17165, 21055, 21139, 21225"
2024,17071,6335,6008,Illinois,IL,-0.051617995,Henderson County,Henderson County,illinois/henderson-county,379,15.852242744063323,92,15.852242744063323,379,95.51,"""Hancock County, IL"" 17067 ""Henderson County, IL"" 17071 ""McDonough County, IL"" 17109 ""Mercer County, IL"" 17131 ""Warren County, IL"" 17187 ""Des Moines County, IA"" 19057 ""Lee County, IA"" 19111","17067, 17071, 17109, 17131, 17187, 19057, 19111"
2024,17073,49167,48300,Illinois,IL,-0.017633779,Henry County,Henry County,illinois/henry-county,823,58.68772782503038,29,58.68772782503038,823,90.1,"""Bureau County, IL"" 17011 ""Henry County, IL"" 17073 ""Knox County, IL"" 17095 ""Mercer County, IL"" 17131 ""Rock Island County, IL"" 17161 ""Stark County, IL"" 17175 ""Whiteside County, IL"" 17195","17011, 17073, 17095, 17131, 17161, 17175, 17195"
2024,17075,26984,25779,Illinois,IL,-0.044656092,Iroquois County,Iroquois County,illinois/iroquois-county,1117,23.078782452999103,51,23.078782452999103,1117,90.63,"""Ford County, IL"" 17053 ""Iroquois County, IL"" 17075 ""Kankakee County, IL"" 17091 ""Vermilion County, IL"" 17183 ""Benton County, IN"" 18007 ""Newton County, IN"" 18111","17053, 17075, 17091, 17183, 18007, 18111"
2024,17077,52891,51805,Illinois,IL,-0.020532794,Jackson County,Jackson County,illinois/jackson-county,584,88.70719178082192,27,88.70719178082192,584,74.12,"""Franklin County, IL"" 17055 ""Jackson County, IL"" 17077 ""Perry County, IL"" 17145 ""Randolph County, IL"" 17157 ""Union County, IL"" 17181 ""Williamson County, IL"" 17199 ""Perry County, MO"" 29157","17055, 17077, 17145, 17157, 17181, 17199, 29157"
2024,17079,9241,9116,Illinois,IL,-0.013526675,Jasper County,Jasper County,illinois/jasper-county,495,18.416161616161617,88,18.416161616161617,495,96.5,"""Clark County, IL"" 17023 ""Clay County, IL"" 17025 ""Crawford County, IL"" 17033 ""Cumberland County, IL"" 17035 ""Effingham County, IL"" 17049 ""Jasper County, IL"" 17079 ""Richland County, IL"" 17159","17023, 17025, 17033, 17035, 17049, 17079, 17159"
2024,17081,36995,36221,Illinois,IL,-0.020921746,Jefferson County,Jefferson County,illinois/jefferson-county,571,63.43432574430823,38,63.43432574430823,571,85.49,"""Franklin County, IL"" 17055 ""Hamilton County, IL"" 17065 ""Jefferson County, IL"" 17081 ""Marion County, IL"" 17121 ""Perry County, IL"" 17145 ""Washington County, IL"" 17189 ""Wayne County, IL"" 17191","17055, 17065, 17081, 17121, 17145, 17189, 17191"
